source_id,subject,relative_path,parser,status,units,unit_count,text_chars,formula_count,table_count,embedded_visual_count,notes
SRC-0203,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-28 163405.png,Pillow,parsed,pixels,33718,,,,1,733x46; mode=RGBA
SRC-0204,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-28 163416.png,Pillow,parsed,pixels,60756,,,,1,732x83; mode=RGBA
SRC-0205,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-28 163432.png,Pillow,parsed,pixels,94976,,,,1,742x128; mode=RGBA
SRC-0206,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-28 163520.png,Pillow,parsed,pixels,64467,,,,1,741x87; mode=RGBA
SRC-0207,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-28 163540.png,Pillow,parsed,pixels,112660,,,,1,860x131; mode=RGBA
SRC-0208,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-28 163547.png,Pillow,parsed,pixels,104904,,,,1,846x124; mode=RGBA
SRC-0209,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-28 163603.png,Pillow,parsed,pixels,202650,,,,1,965x210; mode=RGBA
SRC-0210,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-28 163619.png,Pillow,parsed,pixels,151384,,,,1,1016x149; mode=RGBA
SRC-0211,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-28 163634.png,Pillow,parsed,pixels,191675,,,,1,1025x187; mode=RGBA
SRC-0212,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-28 163648.png,Pillow,parsed,pixels,187000,,,,1,1000x187; mode=RGBA
SRC-0213,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-29 141655.png,Pillow,parsed,pixels,288666,,,,1,522x553; mode=RGBA
SRC-0214,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-29 141701.png,Pillow,parsed,pixels,206190,,,,1,522x395; mode=RGBA
SRC-0215,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-29 141712.png,Pillow,parsed,pixels,317420,,,,1,538x590; mode=RGBA
SRC-0216,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-29 141723.png,Pillow,parsed,pixels,323186,,,,1,566x571; mode=RGBA
SRC-0217,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-29 141734.png,Pillow,parsed,pixels,345400,,,,1,550x628; mode=RGBA
SRC-0218,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-29 141954.png,Pillow,parsed,pixels,210438,,,,1,486x433; mode=RGBA
